^PLATFORM = GPL12
!Platform_title = Stanford Zea mays
!Platform_geo_accession = GPL12
!Platform_status = Public on Oct 09 2001
!Platform_submission_date = Jun 11 2001
!Platform_last_update_date = May 26 2005
!Platform_technology = spotted DNA/cDNA
!Platform_distribution = non-commercial
!Platform_organism = Zea mays
!Platform_taxid = 4577
!Platform_description = A maize array fabricated with 5,376 unique expressed sequence tag (EST) clones sequenced from 4-day-old roots, immature ears and adult organ cDNA libraries.
!Platform_description = mRNA source: Zea mays strain with genetic background K55 (75%), W23 (20%), Robertson's Mutator (5%).
!Platform_web_link = http://zmdb.iastate.edu/
!Platform_pubmed_id = 12225584
!Platform_contributor = Yangrae,,Cho
!Platform_contributor = Virginia ,,Walbot
!Platform_contact_name = Yangrae,,Cho
!Platform_contact_email = yacho@sequence.stanford.edu
!Platform_contact_phone = 650-812-1976
!Platform_contact_fax = 650-812-1975
!Platform_contact_laboratory = V. Walbot
!Platform_contact_department = Biological Sciences
!Platform_contact_institute = Stanford University
!Platform_contact_address = 385 Serra Mall
!Platform_contact_city = Stanford University
!Platform_contact_state = CA
!Platform_contact_zip/postal_code = 94305-8221
!Platform_contact_country = USA
!Platform_sample_id = GSM57
!Platform_sample_id = GSM58
!Platform_sample_id = GSM59
!Platform_sample_id = GSM60
!Platform_sample_id = GSM61
!Platform_sample_id = GSM62
!Platform_sample_id = GSM63
!Platform_sample_id = GSM64
!Platform_sample_id = GSM65
!Platform_sample_id = GSM66
!Platform_sample_id = GSM67
!Platform_sample_id = GSM68
!Platform_sample_id = GSM69
!Platform_sample_id = GSM70
!Platform_sample_id = GSM71
!Platform_sample_id = GSM72
!Platform_sample_id = GSM73
!Platform_sample_id = GSM74
!Platform_sample_id = GSM75
!Platform_sample_id = GSM76
!Platform_sample_id = GSM77
!Platform_sample_id = GSM78
!Platform_sample_id = GSM79
!Platform_sample_id = GSM80
!Platform_series_id = GSE141
!Platform_data_row_count = 5760
#ID = 
#Homologs PID-1 = Top matching sequences to GenBank on March 1, 2001
#Homologs PID-2 = Top matching sequences to GenBank on March 1, 2001
#Homologs PID-3 = Top matching sequences to GenBank on March 1, 2001
#SPOT_ID = Spot identifier
!platform_table_begin
ID	Homologs PID-1	Homologs PID-2	Homologs PID-3	SPOT_ID
707031D05.x2	Homolog PID: 9759468 gene_id:MAF19.22~unknown protein [Arabidopsis thaliana]	Homolog PID: 10176718 gene_id:MXM12.8~unknown protein [Arabidopsis thaliana]		707031D05.x2
707032E08.x1	Homolog PID: 7671434 GDP dissociation inhibitor [Arabidopsis thaliana]	Homolog PID: 2501850 GDP dissociation inhibitor [Nicotiana tabacum]	Homolog PID: 2384758 GDP disso	707032E08.x1
707033E10.x3				707033E10.x3
707034E10.x3	Homolog PID: 10177239 PGPD14 protein [Arabidopsis thaliana]	Homolog PID: 4105798 PGPD14                               Petunia [x hybrida]	Homolog PID: 7573426 putative protein [Ara	707034E10.x3
707029B11.x1	Homolog PID: 1839597 calcium/calmodulin-dependent pro... [Zea mays]	Homolog PID: 1313907 CDPK-related protein kinase [Zea mays]	Homolog PID: 2443388 calcium-dependent prote	707029B11.x1
707030C08.x2	Homolog PID: 4966372 ESTs gb|N38586 and gb|N38613 com...	Homolog PID: 2244910 hypothetical protein [Arabidopsis thaliana]	Homolog PID: 7268301 hypothetical protein [Arabidopsis thalia	707030C08.x2
707031A07.x2	Homolog PID: 4914373 putative protein kinase/endoribo... [Arabidopsis thaliana]	Homolog PID: 10177897 gb|AAD32909.1~gene_id:K16H17.7~s...	Homolog PID: 6671943 p	707031A07.x2
707032D10.x1				707032D10.x1
707033D11.x3	Homolog PID: 9759165 gene_id:MEE6.26~unknown protein [Arabidopsis thaliana]			707033D11.x3
707034F11.x3	Homolog PID: 9294509 mycolic acid methyl transferase-... [Arabidopsis thaliana]	Homolog PID: 4155557 CYCLOPOCYCLOPROPANE FATTY ACID S...  Helicobacter [pylori j99]		707034F11.x3
707051G06.y1				707051G06.y1
707052F01.y1	Homolog PID: 9049460 putative chloroplast outer envel... [Oryza sativa]			707052F01.y1
707052C07.y1				707052C07.y1
707052D12.y1				707052D12.y1
707053D12.x3	Homolog PID: 7269136 putative protein [Arabidopsis thaliana]	Homolog PID: 3292814 putative protein [Arabidopsis thaliana]	Homolog PID: 7267897 putative protein [Arabidopsis thalia	707053D12.x3
707054B08.x1				707054B08.x1
707051C08.y1				707051C08.y1
707052D03.y1	Homolog PID: 9758258 contains similarity to GTPase ac... [Arabidopsis thaliana]	Homolog PID: 7269563 putative protein [Arabidopsis thaliana]	Homolog PID: 4490706	707052D03.y1
707052B08.y1				707052B08.y1
707052H12.x1				707052H12.x1
707054G01.y1	Homolog PID: 3978578 Polygalacturonase inhibitor [Poncirus trifoliata]	Homolog PID: 1617034 polygalacturonase-inhibiting pro... [Citrus sinensis]	Homolog PID: 3337095 po	707054G01.y1
707054C09.y1				707054C09.y1
707051A09.y1				707051A09.y1
707052H03.x1	Homolog PID: 2245012 hypothetical protein [Arabidopsis thaliana]	Homolog PID: 7268406 hypothetical protein [Arabidopsis thaliana]		707052H03.x1
707052A09.x1				707052A09.x1
707053C03.y1	Homolog PID: 10645501 CLP protease regulatory subunit ... [Arabidopsis thaliana]	Homolog PID: 11054716 CLP protease regulatory subunit ... [Arabidopsis thaliana]		707053C03.y1
707054H03.x1	Homolog PID: 1495802 13-lipoxygenase [Solanum tuberosum]	Homolog PID: 1654138 lipoxygenase [Lycopersicon esculentum]	Homolog PID: 2826842 loxc homologue [Lycopersicon pimpinellif]	707054H03.x1
707054G10.y1				707054G10.y1
707051G09.y1				707051G09.y1
707052C04.x1	Homolog PID: 10177494 gene_id:K21C13.21~pir||T04769~st...	Homolog PID: 7268784 putative protein [Arabidopsis thaliana]	Homolog PID: 3250697 putative protein [Arabidopsis thaliana]	707052C04.x1
707052G09.y1	Homolog PID: 439879 [Golden delicious apple fruit ex...  Malus [x domestica]	Homolog PID: 1707011 putative auxin-repressed protein [Arabidopsis thaliana]		707052G09.y1
707053A04.y1				707053A04.y1
707054G04.x1	Homolog PID: 6539248 putative lipase/acylhydrolase 4...	Homolog PID: 10177380 GDSL-motif lipase/hydrolase-like... [Arabidopsis thaliana]	Homolog PID: 3242717 putative GDSL-motif lipa	707054G04.x1
707054E11.y1				707054E11.y1
707071G02.x10				707071G02.x10
707072B05.x1				707072B05.x1
707074G03.x1				707074G03.x1
707074F11.x1	Homolog PID: 4574141 cysteine synthase [Oryza sativa]	Homolog PID: 4574137 cysteine synthase [Oryza sativa]	Homolog PID: 218277 O-acetylserine(thiol) lyase [Spinacia oleracea]	707074F11.x1
707078B02.x1	Homolog PID: 3420051 unknown protein [Arabidopsis thaliana]	Homolog PID: 6572198 bK223H9.2 [Homo sapiens]	Homolog PID: 8954029 Identical to an unknown protein ...	707078B02.x1
707078H08.x1				707078H08.x1
707071H04.x10				707071H04.x10
707072C06.x2				707072C06.x2
707074C04.x1	Homolog PID: 10121845 cold acclimation protein WCOR413... [Oryza sativa]	Homolog PID: 1657855 cold acclimation protein WCOR413 [Triticum aestivum]	Homolog PID: 10121843	707074C04.x1
707074G12.x1	Homolog PID: 3033375 putative berberine bridge enzyme [Arabidopsis thaliana]	Homolog PID: 7268882 berberine bridge enzyme-like pro... [Arabidopsis thaliana]		707074G12.x1
707078F02.x1	Homolog PID: 7573413 putative protein [Arabidopsis thaliana]			707078F02.x1
707078B09.x1				707078B09.x1
707071E06.x10				707071E06.x10
707072G07.x1	Homolog PID: 9711238 IDS3 [Hordeum vulgare]	Homolog PID: 4514655 IDS3 [Hordeum vulgare]	Homolog PID: 520582 Ids3 [Hordeum vulgare]	707072G07.x1
707074B05.x1	Homolog PID: 2394227 WD-40 repeat protein [Lycopersicon esculentum]	Homolog PID: 2394229 WD-40 repeat protein [Arabidopsis thaliana]	Homolog PID: 8777324 WD-40 repeat prote	707074B05.x1
707077C01.x1				707077C01.x1
707078H03.x1	Homolog PID: 4837727 small GTP binding protein Rab2 [Sporobolus stapfianus]	Homolog PID: 642121 small GTP-binding protein [Oryza sativa]	Homolog PID: 2764802 ras-li	707078H03.x1
707078F10.x1	Homolog PID: 9802529 F17L21.12 [Arabidopsis thaliana]			707078F10.x1
707071B11.x1	Homolog PID: 3892056 putative vacuolar ATPase [Arabidopsis thaliana]	Homolog PID: 7269022 putative vacuolar ATPase [Arabidopsis thaliana]	Homolog PID: 1174078 vacuolar ATP	707071B11.x1
707072C08.x1				707072C08.x1
707074G06.x1				707074G06.x1
707077F02.x1	Homolog PID: 10177496 gene_id:K21C13.23~unknown protein [Arabidopsis thaliana]			707077F02.x1
707078C04.x1	Homolog PID: 555616 cytokinin induced message [Glycine max]	Homolog PID: 8118428 beta-expansin [Oryza sativa]	Homolog PID: 11321742 beta-expansin EXPB3 [Oryza sativa]	707078C04.x1
707078C12.x1				707078C12.x1
945001B07.X3				945001B07.X3
945001D12.X3	Homolog PID: 7413570 putative protein [Arabidopsis thaliana]			945001D12.X3
945002A08.X2				945002A08.X2
945003A03.X3				945003A03.X3
945003C08.X3	Homolog PID: 5932426 thioredoxin-like protein [Secale cereale]	Homolog PID: 5732707 thioredoxin-like protein [Phalaris coerulescens]	Homolog PID: 5732705 thioredoxin-like protei	945003C08.X3
945004G04.X1				945004G04.X1
945001D07.X3				945001D07.X3
945002B01.X3	Homolog PID: 6721552 ESTs AU067919(C10906),AU067918(C... [Oryza sativa]	Homolog PID: 3452387 cysteine protease inhibitor [Lycopersicon esculentum]	Homolog PID: 415591 m	945002B01.X3
945002A10.X2				945002A10.X2
945003E03.X3	Homolog PID: 4680211 hypothetical protein [Sorghum bicolor]	Homolog PID: 9755624 putative protein [Arabidopsis thaliana]	Homolog PID: 9758067 gene_id:K15E6.11~unknown protein [Arab	945003E03.X3
945003F08.X3				945003F08.X3
945004A06.X1	Homolog PID: 7106544 ATMPK9 [Arabidopsis thaliana]	Homolog PID: 9294059 MAP kinase [Arabidopsis thaliana]	Homolog PID: 6692731 putative MAP kinase 28156-31112	945004A06.X1
945001B08.X1				945001B08.X1
945002D02.X3				945002D02.X3
945002E10.X3	Homolog PID: 7267962 Ribosomal protein L7Ae-like [Arabidopsis thaliana]	Homolog PID: 5823571 Ribosomal protein L7Ae-like [Arabidopsis thaliana]	Homolog PID: 6318599 15.	945002E10.X3
945003B04.X3				945003B04.X3
945003D10.X3	Homolog PID: 7573371 putative protein [Arabidopsis thaliana]			945003D10.X3
945004F08.X1				945004F08.X1
945001F08.X3				945001F08.X3
945002H02.X3				945002H02.X3
945002G10.X3	Homolog PID: 7543740 beta-glucosidase, putative 6991...	Homolog PID: 6685165 beta-glucosidase [Arabidopsis thaliana]		945002G10.X3
945003F04.X3	Homolog PID: 1778147 phosphate/phosphoenolpyruvate tr... [Zea mays]	Homolog PID: 1778149 phosphate/phosphoenolpyruvate tr... [Zea mays]	Homolog PID: 1778145 phosphate/phosp	945003F04.X3
945003G11.X3	Homolog PID: 9955728 outward rectifying potassium cha...  Populus tremula [x populu]	Homolog PID: 11414742 guard cell outward rectifying K+... [Arabidopsis tha		945003G11.X3
945004B09.X1				945004B09.X1
945017D06.Y1				945017D06.Y1
945017E11.Y1				945017E11.Y1
945018A06.X2				945018A06.X2
945019D04.Y1	Homolog PID: 7295487 CG10672 gene product [Drosophila melanogaster]	Homolog PID: 4105190 peroxisomal short-chain alcohol ... [Homo sapiens]	Homolog PID: 11559414 NADPH-depe	945019D04.Y1
945020H02.Y1				945020H02.Y1
945020H08.Y1	Homolog PID: 9965440 inducible phenylalanine ammonia-... [Triticum aestivum]	Homolog PID: 1483612 phenylalanine ammonia-lyase [Triticum aestivum]	Homolog PID: 170793	945020H08.Y1
945017H06.X1	Homolog PID: 7269147 hypothetical protein [Arabidopsis thaliana]	Homolog PID: 5139333 hypothetical protein [Arabidopsis thaliana]	Homolog PID: 7267880 putative protein [Arabid	945017H06.X1
945017H11.Y1				945017H11.Y1
945018A07.X2	Homolog PID: 9758456 membrane-associated salt-inducib... [Arabidopsis thaliana]	Homolog PID: 7413543 putative protein [Arabidopsis thaliana]	Homolog PID: 473874 	945018A07.X2
945019H04.Y1	Homolog PID: 7649370 guanine nucleotide-exchange-like... [Arabidopsis thaliana]			945019H04.Y1
945020E03.Y1	Homolog PID: 9955530 putative hydrolase [Arabidopsis thaliana]	Homolog PID: 8778454 F1L3.12 [Arabidopsis thaliana]		945020E03.Y1
945020H10.Y1	Homolog PID: 11034561 contains ESTs AU031595(E61925),A... [Oryza sativa]	Homolog PID: 7268958 Lsd1 like protein [Arabidopsis thaliana]	Homolog PID: 4455269 Lsd1 like p	945020H10.Y1
945017C07.X1				945017C07.X1
945017C12.Y1	Homolog PID: 984262 asparragine synthetase [Zea mays]	Homolog PID: 16076 asparagine synthase [Asparagus officinalis]	Homolog PID: 1617002 asparagine synthetase [Asparagus officinalis]	945017C12.Y1
945018E08.X2	Homolog PID: 474392 serine carboxylase II-3 [Hordeum vulgare]	Homolog PID: 7573330 serin carboxypeptidase-like prot... [Arabidopsis thaliana]	Homolog PID: 8346563 serine-type car	945018E08.X2
945019E05.Y1	Homolog PID: 11139264 PRLI-interacting factor G [Arabidopsis thaliana]	Homolog PID: 4726112 hypothetical protein [Arabidopsis thaliana]		945019E05.Y1
945020C04.Y1				945020C04.Y1
945021H01.Y1				945021H01.Y1
945017F07.Y1	Homolog PID: 8778973 Contains strong similarity to an...	Homolog PID: 6587863 unknown protein 39760-41105	Homolog PID: 7271041 putative protein [Arabidopsis thaliana]	945017F07.Y1
945017E12.Y1	Homolog PID: 4432840 unknown protein [Arabidopsis thaliana]	Homolog PID: 4371281 unknown protein [Arabidopsis thaliana]		945017E12.Y1
945018A09.X2				945018A09.X2
945019E06.Y1	Homolog PID: 11762216 T7H20.210 [Arabidopsis thaliana]			945019E06.Y1
945020H04.Y1	Homolog PID: 167081 peroxidase BP 1 [Hordeum vulgare]	Homolog PID: 6682609 peroxidase ATP4a 11713-9515	Homolog PID: 7239495 Identical to the peroxidase ATP4...	945020H04.Y1
945021F02.Y1	Homolog PID: 10801371 unknown protein [Arabidopsis thaliana]	Homolog PID: 7268694 putative protein [Arabidopsis thaliana]	Homolog PID: 2832628 putative protein [Arabidopsis thalia	945021F02.Y1
945031B12.Y1				945031B12.Y1
945032C10.X1	Homolog PID: 3128220 putative urease accessory protein [Arabidopsis thaliana]	Homolog PID: 4324678 urease accessory protein UREG [Arabidopsis thaliana]		945032C10.X1
945033E03.X1	Homolog PID: 3097266 translation initiation factor [Pisum sativum]	Homolog PID: 19699 nicotiana eukaryotic  translatio... [Nicotiana plumbaginifoli]	Homolog PID: 9294443 RNA	945033E03.X1
945033F09.Y1	Homolog PID: 2275199 hypothetical protein [Arabidopsis thaliana]	Homolog PID: 7320762 predicted using Genefinder prel...	Homolog PID: 7243231 KIAA1425 protein [Homo sapiens]	945033F09.Y1
945034B04.X1	Homolog PID: 4454307 cyclophilin [Pseudotsuga menziesii]	Homolog PID: 3785999 putative peptidyl-prolyl cis-tra... [Arabidopsis thaliana]	Homolog PID: 3647230 cyclophilin [Homo sapiens	945034B04.X1
945034D09.X1	Homolog PID: 510238 oligopeptide transporter 1-1 [Arabidopsis thaliana]	Homolog PID: 4406786 histidine transport protein [Arabidopsis thaliana]	Homolog PID: 633940 tran	945034D09.X1
945031E12.Y1	Homolog PID: 7362786 cellulase-like protein [Arabidopsis thaliana]	Homolog PID: 2290683 basic cellulase [Citrus sinensis]	Homolog PID: 7267669 cellulase-like protein [Arabid	945031E12.Y1
945032A11.Y1	Homolog PID: 6492239 magnesium/proton exchanger AtMHX [Arabidopsis thaliana]	Homolog PID: 6492237 magnesium/proton exchanger AtMHX [Arabidopsis thaliana]		945032A11.Y1
945033G04.Y1	Homolog PID: 5453127 26S proteasome subunit p40.5 [Homo sapiens]	Homolog PID: 3746882 26S proteasome subunit 11 [Homo sapiens]	Homolog PID: 3618343 26S proteasome subunit p40.	945033G04.Y1
945033D11.Y1				945033D11.Y1
945034F04.X1				945034F04.X1
945034F09.X1	Homolog PID: 1103628 ferritin [Zea mays]	Homolog PID: 10278590 unnamed protein product [Zea mays]	Homolog PID: 22276 ferritin [Zea mays]	945034F09.X1
945032E01.X1	Homolog PID: 10177502 peroxidase ATP26a homolog [Arabidopsis thaliana]	Homolog PID: 1890317 peroxidase ATP26a [Arabidopsis thaliana]	Homolog PID: 9759442 peroxidase [Ara	945032E01.X1
945032D11.X1				945032D11.X1
945033G05.X1	Homolog PID: 6899922 multifunctional aminoacyl-tRNA l... [Arabidopsis thaliana]	Homolog PID: 8979722 putative protein [Arabidopsis thaliana]	Homolog PID: 3218410	945033G05.X1
945033E12.X1				945033E12.X1
945034C05.X1	Homolog PID: 3281846 late elongated hypocotyl [Arabidopsis thaliana]	Homolog PID: 4759506 unnamed protein product	Homolog PID: 6715647 T25K16.6 [Arabidopsis thaliana]	945034C05.X1
945034A10.X1	Homolog PID: 4337202 hypothetical protein [Arabidopsis thaliana]	Homolog PID: 7329700 endosperm specific protein-like [Arabidopsis thaliana]	Homolog PID: 10645542 hypothetical	945034A10.X1
945032G01.X1				945032G01.X1
945032H11.Y1				945032H11.Y1
945033E06.X1	Homolog PID: 10122032 putative transporter [Oryza sativa]	Homolog PID: 7269626 putative protein [Arabidopsis thaliana]	Homolog PID: 4469023 putative protein [Arabidopsis thaliana]	945033E06.X1
945034C01.X1	Homolog PID: 902527 ubiquitin fusion protein [Zea mays]	Homolog PID: 168651 ubiquitin fusion protein [Zea mays]	Homolog PID: 167073 ubiquitin [Hordeum vulgare]	945034C01.X1
945034A06.X1	Homolog PID: 9622882 cellulose synthase-5 [Zea mays]	Homolog PID: 9622880 cellulose synthase-4 [Zea mays]	Homolog PID: 9622890 cellulose synthase-9 [Zea mays]	945034A06.X1
945034D10.X1				945034D10.X1
614017A05.y1				614017A05.y1
614017E11.x1	Homolog PID: 10177198 Erd1 protein precursor [Arabidopsis thaliana]	Homolog PID: 497629 ERD1 protein [Arabidopsis thaliana]		614017E11.x1
614018C09.x1				614018C09.x1
614020F04.y1	Homolog PID: 11935185 putative heme oxygenase 1 [Arabidopsis thaliana]	Homolog PID: 4883666 heme oxygenase 1 [Arabidopsis thaliana]	Homolog PID: 4530593 heme oxygenase 1	614020F04.y1
614020D09.x1				614020D09.x1
614021H04.y1				614021H04.y1
614017H05.y1	Homolog PID: 9758044 gene_id:MYC6.6~unknown protein [Arabidopsis thaliana]	Homolog PID: 9758067 gene_id:K15E6.11~unknown protein [Arabidopsis thaliana]	Homolog PID: 97	614017H05.y1
614017C12.x1				614017C12.x1
614018F09.x1				614018F09.x1
614020A05.y1	Homolog PID: 6469283 putative aminopropyltransferase [Oryza sativa]	Homolog PID: 9757993 spermidine synthase [Arabidopsis thaliana]	Homolog PID: 2821957 spermidine synthase	614020A05.y1
614020G10.x1				614020G10.x1
614021G05.y1	Homolog PID: 9294516 contains similarity t [Arabidopsis thaliana]	Homolog PID: 9294513 contains similarity t [Arabidopsis thaliana]	Homolog PID: 3822036 endo-1,3-1,4-beta-D-g	614021G05.y1
614017F06.y1	Homolog PID: 4895184 unknown protein [Arabidopsis thaliana]	Homolog PID: 4589931 fls485 [Homo sapiens]		614017F06.y1
614018G01.y1	Homolog PID: 8979718 putative protein [Arabidopsis thaliana]	Homolog PID: 4115377 putative multispanning membrane ... [Arabidopsis thaliana]	Homolog PID: 9294023 multispanning mem	614018G01.y1
614018F10.y1				614018F10.y1
614020C05.y1				614020C05.y1
614020A12.x1				614020A12.x1
614021B06.y1				614021B06.y1
614017A07.y1	Homolog PID: 9758510 contains similarity to ubiquitin... [Arabidopsis thaliana]	Homolog PID: 7268541 putative protein [Arabidopsis thaliana]	Homolog PID: 2894598	614017A07.y1
614018B03.x1				614018B03.x1
614018H11.y1	Homolog PID: 6056379 Similar to GTP-binding protein [Arabidopsis thaliana]	Homolog PID: 10176676 GTP-binding protein [Bacillus halodurans]	Homolog PID: 1653033 hypot	614018H11.y1
614020A06.y1				614020A06.y1
614020D12.y1				614020D12.y1
614021B07.y1				614021B07.y1
614036A05.x1				614036A05.x1
614038F02.x2				614038F02.x2
614038G07.x2	Homolog PID: 11136726 unknown protein [Arabidopsis thaliana]			614038G07.x2
614039H03.x1	Homolog PID: 404070 O-methyltransferase [Zea mays]	Homolog PID: 453244 flavonoid 7-O-methyltransferase [Hordeum vulgare]	Homolog PID: 4098238 o-methyltransferase [Triticum aestivum]	614039H03.x1
614040B10.y1	Homolog PID: 6091761 hypothetical protein [Arabidopsis thaliana]	Homolog PID: 9828622 F1N21.22 [Arabidopsis thaliana]	Homolog PID: 7263615 putative protein [Arabidopsis thalia	614040B10.y1
614042D10.y1	Homolog PID: 4510425 unknown protein [Arabidopsis thaliana]	Homolog PID: 10440317 unnamed protein product [Homo sapiens]		614042D10.y1
614036B08.x2				614036B08.x2
614038B03.y2				614038B03.y2
614038G08.y2	Homolog PID: 6630702 hypothetical protein [Oryza sativa]	Homolog PID: 6721539 hypothetical protein [Oryza sativa]	Homolog PID: 9662993 putative protein [Arabidopsis thaliana]	614038G08.y2
614039B05.x1				614039B05.x1
614040F10.y1				614040F10.y1
614042D11.x2				614042D11.x2
614036G09.x2				614036G09.x2
614038B04.y2	Homolog PID: 2494115 Strong similarity to Arabidopsis... [Arabidopsis thaliana]	Homolog PID: 4090884 vesicle-associated membrane prot... [Arabidopsis thaliana]		614038B04.y2
614038G09.y2	Homolog PID: 9757727 contains similarity to guanylate... [Arabidopsis thaliana]			614038G09.y2
614039A07.x1				614039A07.x1
614040G11.y1	Homolog PID: 1841468 Tyrosyl-tRNA synthetase [Nicotiana tabacum]	Homolog PID: 6560759 F3M18.22 [Arabidopsis thaliana]	Homolog PID: 1707012 putative tyrosyl-tRNA synthetase [Ar	614040G11.y1
614043D01.x2	Homolog PID: 7248411 ESTs C99632(E20954),C99633(E2095... [Oryza sativa]	Homolog PID: 7248405 ESTs AU082419(E61744),AU031498(E... [Oryza sativa]	Homolog PID: 6715639 T25	614043D01.x2
614036D10.x2	Homolog PID: 4585387 hypothetical protein [Bacteriophage 933w]	Homolog PID: 5881602 hypothetical protein [Bacteriophage vt2]	Homolog PID: 11875141 hypothetical protein          	614036D10.x2
614038F04.x2	Homolog PID: 3264605 ribosomal protein L25 [Zea mays]	Homolog PID: 10241664 putative 60s Ribosomal protein L25 [Oryza sativa]	Homolog PID: 7340791 ribosomal protein L23 [Spinacia olerace	614038F04.x2
614038E10.x2	Homolog PID: 7380910 nonclathrin coat protein zeta1-COP [Zea mays]			614038E10.x2
614039C08.x1	Homolog PID: 10178199 N-carbamyl-L-amino acid amidohyd... [Arabidopsis thaliana]	Homolog PID: 2695925 hypothetical protein [Hordeum vulgare]	Homolog PID: 216833	614039C08.x1
614042E02.x2	Homolog PID: 9758701 contains similarity to UDP-glucos [Arabidopsis thaliana]	Homolog PID: 5852089 zwh12.1 [Oryza sativa]	Homolog PID: 4587518 Strong similarity t	614042E02.x2
614043C03.x2				614043C03.x2
614058D07.y1				614058D07.y1
614059H02.y1				614059H02.y1
614060B01.y1	Homolog PID: 9229962 ubiquitin ligase-like [Arabidopsis thaliana]	Homolog PID: 285983 KIAA0010 [Homo sapiens]	Homolog PID: 5788106 hypothetical protein 1 [Homo sapiens]	614060B01.y1
614060B06.y1	Homolog PID: 11034950 hypothetical protein [Arabidopsis thaliana]			614060B06.y1
614060G09.y1				614060G09.y1
614062D04.y1	Homolog PID: 6671947 putative ubiquitin carboxyl-term... [Arabidopsis thaliana]	Homolog PID: 10178116 ubiquitin carboxyl-terminal hydr... [Arabidopsis thaliana]		614062D04.y1
614058G07.y1				614058G07.y1
614059C03.x1				614059C03.x1
614060D01.y1	Homolog PID: 1019946 ascorbate peroxidase [Gossypium hirsutum]	Homolog PID: 7270451 L-ascorbate peroxidase [Arabidopsis thaliana]	Homolog PID: 2444019 ascorbate peroxidase 3 [Ar	614060D01.y1
614060E06.y1	Homolog PID: 6014701 enoyl-CoA-hydratase [Avicennia marina]	Homolog PID: 2880042 3-hydroxyisobutyryl-coenzyme A h... [Arabidopsis thaliana]	Homolog PID: 8572760 CoA-thioester hydro	614060E06.y1
614060A10.y1				614060A10.y1
614062D05.y1	Homolog PID: 6498122 nicotianamine aminotransferase A [Hordeum vulgare]	Homolog PID: 6469089 nicotianamine aminotransferase [Hordeum vulgare]	Homolog PID: 6469087 nicot	614062D05.y1
614058D08.x1	Homolog PID: 4585999 Hypothetical protein [Arabidopsis thaliana]			614058D08.x1
614059F05.x1	Homolog PID: 5902382 Unknown protein [Arabidopsis thaliana]	Homolog PID: 7413640 putative protein [Arabidopsis thaliana]		614059F05.x1
614060E02.x1				614060E02.x1
614060B07.y1	Homolog PID: 6682251 unknown protein [Arabidopsis thaliana]	Homolog PID: 6967094 putative protein [Arabidopsis thaliana]	Homolog PID: 6850836 putative protein [Arabidopsis thaliana	614060B07.y1
614060E11.y1				614060E11.y1
614062A07.x1	Homolog PID: 3201969 submergence induced protein 2A [Oryza sativa]	Homolog PID: 2952338 submergence induced protein 2 [Oryza sativa]		614062A07.x1
614058H08.y1	Homolog PID: 4432812 putative cysteinyl-tRNA synthetase [Arabidopsis thaliana]	Homolog PID: 7572928 cysteine-tRNA ligase [Arabidopsis thaliana]		614058H08.y1
614059D06.x1	Homolog PID: 5263314 Similar to gb|X84260 POS5 gene p...	Homolog PID: 4140326 dJ283E3.6.1 [Homo sapiens]	Homolog PID: 10434887 unnamed protein product [Homo sapiens]	614059D06.x1
614060H02.y1				614060H02.y1
614060F07.y1				614060F07.y1
614060G11.x1	Homolog PID: 1402888 unknown [Arabidopsis thaliana]			614060G11.x1
614062B08.y1	Homolog PID: 5302787 FCA alpha and beta protein [Arabidopsis thaliana]	Homolog PID: 7268379 FCA alpha and beta protein [Arabidopsis thaliana]	Homolog PID: 2204099 FCA al	614062B08.y1
614073H08.x1	Homolog PID: 2739382 unknown protein [Arabidopsis thaliana]	Homolog PID: 7270287 putative protein [Arabidopsis thaliana]	Homolog PID: 4490306 putative protein [Arabidopsis thaliana	614073H08.x1
614074H04.x3				614074H04.x3
614074E09.y3	Homolog PID: 11876264 unnamed protein product [Zea mays]	Homolog PID: 11876268 unnamed protein product [Oryza sativa]	Homolog PID: 11876278 unnamed protein product [Triticum aestivum]	614074E09.y3
614075B04.x1				614075B04.x1
614076F01.x1				614076F01.x1
614076B12.x1				614076B12.x1
614073D10.x1				614073D10.x1
614074D05.y3	Homolog PID: 4510346 hypothetical protein [Arabidopsis thaliana]	Homolog PID: 4836912 60811 [Arabidopsis thaliana]		614074D05.y3
614074H09.y3				614074H09.y3
614075D04.x1				614075D04.x1
614076H02.x1				614076H02.x1
614077B02.x3	Homolog PID: 1143427 heat shock protein 70 [Cucumis sativus]	Homolog PID: 6746592 heat shock protein 70 [Arabidopsis thaliana]	Homolog PID: 8777422 heat shock protein 70 [Arabidop	614077B02.x3
614074B01.x3	Homolog PID: 8671494 alpha 2 subunit of 20S proteasome [Oryza sativa]	Homolog PID: 2570505 proteasome component [Oryza sativa]	Homolog PID: 4966368 Identical to gb|Y13176	614074B01.x3
614074G05.y3	Homolog PID: 8778248 F12K21.12 [Arabidopsis thaliana]	Homolog PID: 7321082 putative protein [Arabidopsis thaliana]	Homolog PID: 7267658 putative protein [Arabidopsis thaliana]	614074G05.y3
614074F10.y3	Homolog PID: 4099148 YLP [Hordeum vulgare]	Homolog PID: 4099150 YLP [Hordeum vulgare]	Homolog PID: 5733660 vacuolar V-H+ATPase subunit E [Citrus limon]	614074F10.y3
614075F05.x1				614075F05.x1
614076D04.x1				614076D04.x1
